MeetingDate,MeetingVenue,RaceNo,Position,HorseNo,HorseName,JockeyName,WinOdds
2018-03-07,HV,6,2,11,ALCARI,J Moreira,2.90
2018-03-07,HV,6,3,8,SHANGHAI MASTER,C Y Ho,12.00
2018-03-07,HV,6,4,4,HARD PROMISE,N Rawiller,10.00
2018-03-07,HV,7,1,5,SMART BOY,U Rispoli,13.00
2018-03-07,HV,7,2,4,FAST MOST FURIOUS,Z Purton,8.60
2018-03-07,HV,7,3,12,MOST BEAUTIFUL,H T Mo,6.10
2018-03-07,HV,7,4,2,FANTASTIC FEELING,K Teetan,9.20
2018-03-07,HV,8,1,5,WINNING FAITH,H T Mo,3.40
2018-03-07,HV,8,2,7,PRETTY BAUHINIA,K Teetan,10.00
2018-03-07,HV,8,3,8,GLORIOUS ARTIST,S Clipperton,93.00
2018-03-07,HV,8,4,3,HAPPY SPIRIT,C Y Ho,115.00
2018-03-03,ST,9,1,6,BRAVO WATCHMAN,J Moreira,6.20
2018-02-21,HV,1,1,1,WINFULL PATROL,M F Poon,8.40
2018-02-21,HV,1,2,11,KING'S STEED,H T Mo,11.00
2018-02-21,HV,1,3,2,RAICHU,K C Leung,4.40
2018-02-21,HV,1,4,7,GOBI STORM,U Rispoli,6.90
2018-02-21,HV,2,1,3,PACKING DRAGON,M F Poon,8.00
2018-02-21,HV,2,2,1,WINNER'S WAY,Z Purton,1.90
2018-02-21,HV,2,3,7,PIKACHU,K C Leung,12.00
2018-02-21,HV,2,4,5,LIMITLESS,U Rispoli,8.50
2018-02-21,HV,3,1,3,SHARP HUNTER,P-C Boudot,9.70
2018-02-21,HV,3,2,2,SUPER JUNIOR,Z Purton,1.90
2018-02-21,HV,3,3,1,ARIZONA BLIZZARD,J Moreira,10.00
2018-02-21,HV,3,4,6,BEST RUNNER,M L Yeung,10.00
2018-02-21,HV,4,1,2,SMART DECLARATION,Z Purton,5.00
2018-02-21,HV,4,2,4,LOOK ERAS,H T Mo,8.60
2018-02-21,HV,4,3,9,NOBLE DE BOY,K Teetan,7.30
2018-02-21,HV,4,4,10,ROOKIE STAR,C Y Ho,39.00
2018-02-21,HV,5,1,5,SICHUAN BOSS,T Berry,5.40
2018-02-21,HV,5,2,10,GLORY STAR,J Moreira,5.20
2018-02-21,HV,5,3,2,CONTRIBUTION,K C Ng,11.00
2018-02-21,HV,5,4,12,GOOD CHOICE AHEAD,K Teetan,6.60
2018-02-21,HV,6,1,2,BORN IN CHINA,D Whyte,2.90
2018-02-21,HV,6,3,6,CALIFORNIA WHIP,J Moreira,6.10
2018-02-21,HV,6,4,1,ARCHIPPUS,Z Purton,7.20
2018-02-21,HV,7,1,5,SHARP SAILOR,N Rawiller,8.80
2018-02-21,HV,7,2,11,ACCLAIMED LIGHT,K Teetan,6.90
2018-02-21,HV,7,3,9,ISHVARA,H N Wong,18.00
2018-02-21,HV,7,4,12,SANGRIA,U Rispoli,10.00
2018-02-21,HV,8,1,2,IVICTORY,J Moreira,1.90
2018-02-21,HV,8,2,12,TRIUMPHANT JEWEL,H T Mo,182.00
2018-02-21,HV,8,3,4,RADIANT STEED,P-C Boudot,9.10
2018-02-21,HV,8,4,5,JADE THEATRE,Z Purton,6.70
2018-02-21,HV,9,1,5,IMPERIAL GALLANTRY,T Berry,8.60
2018-02-21,HV,9,2,12,HIGH VOLATILITY,H N Wong,7.40
2018-02-21,HV,9,3,3,GOOD OMEN,D Whyte,86.00
2018-02-21,HV,9,4,10,LET'S TAKE IT EASY,K Teetan,5.00
2018-02-25,ST,6,1,10,GREAT TREASURE,H N Wong,37.00
2018-03-03,ST,9,2,8,MR LUMIERES,A Sanna,2.40
